IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.65.20.187,443,443,true,FRA,Europe,Frankfurt,255,4.58
34.118.46.202,443,443,true,FRA,Europe,Frankfurt,315,4.57
34.154.12.126,443,443,true,FRA,Europe,Frankfurt,275,4.57
34.65.20.187,443,443,true,FRA,Europe,Frankfurt,250,4.56
35.246.195.54,443,443,true,FRA,Europe,Frankfurt,271,4.56
34.116.193.122,443,443,true,FRA,Europe,Frankfurt,269,4.55
34.118.85.50,443,443,true,FRA,Europe,Frankfurt,278,4.55
34.118.26.113,443,443,true,FRA,Europe,Frankfurt,329,4.55
34.154.120.240,443,443,true,FRA,Europe,Frankfurt,255,4.54
34.154.31.255,443,443,true,FRA,Europe,Frankfurt,272,4.54
34.159.25.164,443,443,true,FRA,Europe,Frankfurt,273,4.54
34.65.105.132,443,443,true,FRA,Europe,Frankfurt,252,4.54
34.116.233.114,443,443,true,FRA,Europe,Frankfurt,325,4.53
34.65.221.128,443,443,true,FRA,Europe,Frankfurt,267,4.53
34.116.133.0,443,443,true,FRA,Europe,Frankfurt,265,4.53
34.154.3.175,443,443,true,FRA,Europe,Frankfurt,259,4.53
34.89.239.146,443,443,true,FRA,Europe,Frankfurt,263,4.52
34.154.83.3,443,443,true,FRA,Europe,Frankfurt,262,4.51
34.118.62.238,443,443,true,FRA,Europe,Frankfurt,268,4.51
34.154.201.176,443,443,true,FRA,Europe,Frankfurt,273,4.51
34.116.131.175,443,443,true,FRA,Europe,Frankfurt,311,4.50
34.154.240.154,443,443,true,FRA,Europe,Frankfurt,269,4.49
34.91.1.34,443,443,true,FRA,Europe,Frankfurt,259,4.49
34.90.190.66,443,443,true,FRA,Europe,Frankfurt,293,4.49
34.118.103.198,443,443,true,FRA,Europe,Frankfurt,271,4.48
35.204.89.251,443,443,true,FRA,Europe,Frankfurt,272,4.48
34.154.154.80,443,443,true,FRA,Europe,Frankfurt,256,4.48
34.107.6.24,443,443,true,FRA,Europe,Frankfurt,261,4.47
34.118.54.215,443,443,true,FRA,Europe,Frankfurt,272,4.47
34.147.23.51,443,443,true,FRA,Europe,Frankfurt,259,4.47
34.116.249.117,443,443,true,FRA,Europe,Frankfurt,294,4.46
34.118.4.227,443,443,true,FRA,Europe,Frankfurt,278,4.46
34.118.5.126,443,443,true,FRA,Europe,Frankfurt,331,4.46
34.159.102.32,443,443,true,FRA,Europe,Frankfurt,267,4.45
34.116.149.184,443,443,true,FRA,Europe,Frankfurt,268,4.45
34.90.56.154,443,443,true,FRA,Europe,Frankfurt,258,4.45
34.90.56.154,443,443,true,FRA,Europe,Frankfurt,259,4.44
34.154.173.63,443,443,true,FRA,Europe,Frankfurt,292,4.44
34.89.147.232,443,443,true,FRA,Europe,Frankfurt,262,4.44
34.89.147.232,443,443,true,FRA,Europe,Frankfurt,253,4.44
34.90.171.59,443,443,true,FRA,Europe,Frankfurt,259,4.44
34.90.56.154,443,443,true,FRA,Europe,Frankfurt,262,4.44
34.65.108.37,443,443,true,FRA,Europe,Frankfurt,262,4.44
34.91.12.206,443,443,true,FRA,Europe,Frankfurt,266,4.44
34.91.226.111,443,443,true,FRA,Europe,Frankfurt,290,4.44
34.90.3.83,443,443,true,FRA,Europe,Frankfurt,270,4.43
35.204.126.167,443,443,true,FRA,Europe,Frankfurt,269,4.43
34.118.10.54,443,443,true,FRA,Europe,Frankfurt,275,4.42
34.159.134.234,443,443,true,FRA,Europe,Frankfurt,252,4.41
34.91.252.237,443,443,true,FRA,Europe,Frankfurt,267,4.41
34.91.252.237,443,443,true,FRA,Europe,Frankfurt,259,4.40
34.32.247.251,443,443,true,FRA,Europe,Frankfurt,273,4.40
34.118.91.186,443,443,true,FRA,Europe,Frankfurt,269,4.40
34.91.211.250,443,443,true,FRA,Europe,Frankfurt,256,4.40
34.116.145.53,443,443,true,FRA,Europe,Frankfurt,271,4.39
34.116.221.87,443,443,true,FRA,Europe,Frankfurt,331,4.38
34.91.145.154,443,443,true,FRA,Europe,Frankfurt,256,4.38
34.154.114.65,443,443,true,FRA,Europe,Frankfurt,265,4.37
34.91.211.250,443,443,true,FRA,Europe,Frankfurt,267,4.37
34.107.56.108,443,443,true,FRA,Europe,Frankfurt,331,4.37
34.116.147.55,443,443,true,FRA,Europe,Frankfurt,271,4.36
34.65.36.136,443,443,true,FRA,Europe,Frankfurt,262,4.35
34.65.70.183,443,443,true,FRA,Europe,Frankfurt,249,4.35
34.89.134.110,443,443,true,FRA,Europe,Frankfurt,251,4.35
34.116.153.230,443,443,true,FRA,Europe,Frankfurt,299,4.34
34.32.183.111,443,443,true,FRA,Europe,Frankfurt,258,4.32
34.154.171.126,443,443,true,FRA,Europe,Frankfurt,262,4.32
34.90.71.109,443,443,true,FRA,Europe,Frankfurt,264,4.32
34.154.223.118,443,443,true,FRA,Europe,Frankfurt,249,4.32
34.91.145.154,443,443,true,FRA,Europe,Frankfurt,262,4.32
34.116.217.223,443,443,true,FRA,Europe,Frankfurt,281,4.32
34.154.222.58,443,443,true,FRA,Europe,Frankfurt,267,4.31
34.65.226.188,443,443,true,FRA,Europe,Frankfurt,262,4.30
34.118.12.204,443,443,true,FRA,Europe,Frankfurt,313,4.30
34.116.252.47,443,443,true,FRA,Europe,Frankfurt,268,4.30
34.116.219.56,443,443,true,FRA,Europe,Frankfurt,316,4.29
34.159.252.38,443,443,true,FRA,Europe,Frankfurt,254,4.28
34.91.121.200,443,443,true,FRA,Europe,Frankfurt,259,4.28
34.159.1.160,443,443,true,FRA,Europe,Frankfurt,265,4.28
34.116.129.250,443,443,true,FRA,Europe,Frankfurt,345,4.28
34.89.239.146,443,443,true,FRA,Europe,Frankfurt,253,4.27
34.118.10.54,443,443,true,FRA,Europe,Frankfurt,349,4.27
34.91.211.250,443,443,true,FRA,Europe,Frankfurt,258,4.27
34.159.23.226,443,443,true,FRA,Europe,Frankfurt,370,4.26
34.116.200.216,443,443,true,FRA,Europe,Frankfurt,267,4.26
34.154.205.68,443,443,true,FRA,Europe,Frankfurt,269,4.26
34.91.64.141,443,443,true,FRA,Europe,Frankfurt,269,4.26
34.116.193.122,443,443,true,FRA,Europe,Frankfurt,331,4.26
35.246.156.162,443,443,true,FRA,Europe,Frankfurt,289,4.25
34.65.70.183,443,443,true,FRA,Europe,Frankfurt,256,4.24
34.159.73.193,443,443,true,FRA,Europe,Frankfurt,322,4.24
34.118.54.215,443,443,true,FRA,Europe,Frankfurt,377,4.24
34.91.10.210,443,443,true,FRA,Europe,Frankfurt,294,4.24
34.154.60.172,443,443,true,FRA,Europe,Frankfurt,268,4.23
34.159.183.90,443,443,true,FRA,Europe,Frankfurt,301,4.23
34.154.10.29,443,443,true,FRA,Europe,Frankfurt,252,4.22
34.116.142.89,443,443,true,FRA,Europe,Frankfurt,314,4.22
34.154.165.147,443,443,true,FRA,Europe,Frankfurt,255,4.21
34.116.133.0,443,443,true,FRA,Europe,Frankfurt,350,4.21
34.154.140.169,443,443,true,FRA,Europe,Frankfurt,258,4.20
34.118.117.182,443,443,true,FRA,Europe,Frankfurt,265,4.20
34.91.85.71,443,443,true,FRA,Europe,Frankfurt,256,4.18
34.91.64.141,443,443,true,FRA,Europe,Frankfurt,273,4.18
35.204.24.165,443,443,true,FRA,Europe,Frankfurt,256,4.17
34.65.19.59,443,443,true,FRA,Europe,Frankfurt,278,4.17
34.116.155.156,443,443,true,FRA,Europe,Frankfurt,271,4.16
34.91.196.131,443,443,true,FRA,Europe,Frankfurt,259,4.16
34.116.141.181,443,443,true,FRA,Europe,Frankfurt,282,4.16
34.90.56.154,443,443,true,FRA,Europe,Frankfurt,266,4.16
34.118.18.167,443,443,true,FRA,Europe,Frankfurt,401,4.16
35.204.224.38,443,443,true,FRA,Europe,Frankfurt,273,4.16
34.65.160.189,443,443,true,FRA,Europe,Frankfurt,252,4.15
35.198.128.132,443,443,true,FRA,Europe,Frankfurt,307,4.14
34.154.157.176,443,443,true,FRA,Europe,Frankfurt,255,4.14
34.90.72.181,443,443,true,FRA,Europe,Frankfurt,276,4.14
34.118.27.184,443,443,true,FRA,Europe,Frankfurt,362,4.13
34.107.79.216,443,443,true,FRA,Europe,Frankfurt,249,4.13
34.118.67.161,443,443,true,FRA,Europe,Frankfurt,284,4.12
35.204.67.16,443,443,true,FRA,Europe,Frankfurt,259,4.12
34.65.167.153,443,443,true,FRA,Europe,Frankfurt,263,4.12
34.118.4.22,443,443,true,FRA,Europe,Frankfurt,340,4.11
34.154.232.65,443,443,true,FRA,Europe,Frankfurt,261,4.11
34.91.196.131,443,443,true,FRA,Europe,Frankfurt,273,4.11
34.118.28.145,443,443,true,FRA,Europe,Frankfurt,384,4.10
34.32.170.34,443,443,true,FRA,Europe,Frankfurt,262,4.10
34.116.152.212,443,443,true,FRA,Europe,Frankfurt,268,4.10
34.154.100.104,443,443,true,FRA,Europe,Frankfurt,252,4.10
34.159.171.115,443,443,true,FRA,Europe,Frankfurt,297,4.09
34.118.15.29,443,443,true,FRA,Europe,Frankfurt,377,4.09
34.116.147.112,443,443,true,FRA,Europe,Frankfurt,333,4.09
35.234.113.224,443,443,true,FRA,Europe,Frankfurt,266,4.08
34.91.85.71,443,443,true,FRA,Europe,Frankfurt,274,4.07
34.118.13.155,443,443,true,FRA,Europe,Frankfurt,271,4.07
34.154.14.191,443,443,true,FRA,Europe,Frankfurt,262,4.07
34.118.85.50,443,443,true,FRA,Europe,Frankfurt,271,4.07
34.116.249.207,443,443,true,FRA,Europe,Frankfurt,270,4.06
34.118.68.152,443,443,true,FRA,Europe,Frankfurt,278,4.06
34.34.32.175,443,443,true,FRA,Europe,Frankfurt,264,4.04
34.116.239.30,443,443,true,FRA,Europe,Frankfurt,339,4.04
34.116.190.191,443,443,true,FRA,Europe,Frankfurt,313,4.03
34.65.93.223,443,443,true,FRA,Europe,Frankfurt,252,4.03
34.32.183.111,443,443,true,FRA,Europe,Frankfurt,269,4.03
34.118.16.81,443,443,true,FRA,Europe,Frankfurt,269,4.03
34.65.167.153,443,443,true,FRA,Europe,Frankfurt,250,4.02
34.116.149.43,443,443,true,FRA,Europe,Frankfurt,323,4.02
34.116.140.46,443,443,true,FRA,Europe,Frankfurt,270,4.02
34.118.112.88,443,443,true,FRA,Europe,Frankfurt,267,4.01
34.91.196.131,443,443,true,FRA,Europe,Frankfurt,271,4.00
34.116.149.43,443,443,true,FRA,Europe,Frankfurt,272,4.00
34.154.69.186,443,443,true,FRA,Europe,Frankfurt,255,3.99
34.91.10.210,443,443,true,FRA,Europe,Frankfurt,262,3.97
34.91.196.131,443,443,true,FRA,Europe,Frankfurt,258,3.97
34.91.10.210,443,443,true,FRA,Europe,Frankfurt,259,3.97
34.118.17.200,443,443,true,FRA,Europe,Frankfurt,376,3.96
34.116.212.119,443,443,true,FRA,Europe,Frankfurt,279,3.96
34.154.36.163,443,443,true,FRA,Europe,Frankfurt,260,3.95
34.118.9.165,443,443,true,FRA,Europe,Frankfurt,311,3.94
34.116.214.219,443,443,true,FRA,Europe,Frankfurt,276,3.94
34.154.159.86,443,443,true,FRA,Europe,Frankfurt,260,3.92
34.116.249.117,443,443,true,FRA,Europe,Frankfurt,341,3.91
34.89.158.132,443,443,true,FRA,Europe,Frankfurt,285,3.90
34.116.219.56,443,443,true,FRA,Europe,Frankfurt,274,3.89
34.118.2.210,443,443,true,FRA,Europe,Frankfurt,335,3.88
34.32.131.36,443,443,true,FRA,Europe,Frankfurt,296,3.86
34.89.158.132,443,443,true,FRA,Europe,Frankfurt,287,3.85
34.116.159.174,443,443,true,FRA,Europe,Frankfurt,332,3.85
34.154.50.5,443,443,true,FRA,Europe,Frankfurt,272,3.84
34.89.137.64,443,443,true,FRA,Europe,Frankfurt,251,3.83
34.154.181.117,443,443,true,FRA,Europe,Frankfurt,262,3.82
34.116.149.184,443,443,true,FRA,Europe,Frankfurt,328,3.82
34.154.245.81,443,443,true,FRA,Europe,Frankfurt,251,3.81
34.90.4.9,443,443,true,FRA,Europe,Frankfurt,280,3.79
34.116.140.46,443,443,true,FRA,Europe,Frankfurt,364,3.79
34.118.103.187,443,443,true,FRA,Europe,Frankfurt,279,3.79
34.118.17.200,443,443,true,FRA,Europe,Frankfurt,268,3.79
34.65.79.91,443,443,true,FRA,Europe,Frankfurt,287,3.78
34.116.128.120,443,443,true,FRA,Europe,Frankfurt,269,3.77
34.118.110.180,443,443,true,FRA,Europe,Frankfurt,279,3.76
34.118.110.180,443,443,true,FRA,Europe,Frankfurt,270,3.75
34.65.40.117,443,443,true,FRA,Europe,Frankfurt,275,3.75
34.116.142.89,443,443,true,FRA,Europe,Frankfurt,271,3.72
34.116.214.219,443,443,true,FRA,Europe,Frankfurt,311,3.72
34.118.112.88,443,443,true,FRA,Europe,Frankfurt,267,3.70
34.89.158.132,443,443,true,FRA,Europe,Frankfurt,261,3.65
34.116.249.207,443,443,true,FRA,Europe,Frankfurt,321,3.63
34.116.152.212,443,443,true,FRA,Europe,Frankfurt,308,3.63
34.118.122.1,443,443,true,FRA,Europe,Frankfurt,278,3.62
34.107.73.97,443,443,true,FRA,Europe,Frankfurt,293,3.61
34.118.67.161,443,443,true,FRA,Europe,Frankfurt,332,3.59
34.89.233.207,443,443,true,FRA,Europe,Frankfurt,283,3.57
34.118.8.36,443,443,true,FRA,Europe,Frankfurt,279,3.57
34.116.212.119,443,443,true,FRA,Europe,Frankfurt,375,3.57
34.118.93.116,443,443,true,FRA,Europe,Frankfurt,268,3.55
34.118.16.81,443,443,true,FRA,Europe,Frankfurt,322,3.54
34.116.145.53,443,443,true,FRA,Europe,Frankfurt,303,3.54
34.118.5.126,443,443,true,FRA,Europe,Frankfurt,269,3.52
34.118.71.97,443,443,true,FRA,Europe,Frankfurt,322,3.49
34.154.133.200,443,443,true,FRA,Europe,Frankfurt,251,3.38
34.116.221.87,443,443,true,FRA,Europe,Frankfurt,299,3.37
34.116.174.179,443,443,true,FRA,Europe,Frankfurt,353,3.34
34.90.131.162,443,443,true,FRA,Europe,Frankfurt,281,3.25
34.118.92.152,443,443,true,FRA,Europe,Frankfurt,273,3.16
34.116.131.64,443,443,true,FRA,Europe,Frankfurt,343,3.11
34.105.189.25,443,443,true,LHR,Europe,London,233,3.07
34.118.27.184,443,443,true,FRA,Europe,Frankfurt,268,3.06
34.118.91.186,443,443,true,FRA,Europe,Frankfurt,268,3.06
34.147.231.33,443,443,true,LHR,Europe,London,221,2.99
34.118.17.244,443,443,true,FRA,Europe,Frankfurt,265,2.99
34.118.103.198,443,443,true,FRA,Europe,Frankfurt,276,2.98
34.118.36.21,443,443,true,FRA,Europe,Frankfurt,269,2.97
34.118.117.182,443,443,true,FRA,Europe,Frankfurt,280,2.95
34.118.103.187,443,443,true,FRA,Europe,Frankfurt,283,2.87
34.118.86.176,443,443,true,FRA,Europe,Frankfurt,265,2.86
34.90.147.53,443,443,true,FRA,Europe,Frankfurt,267,2.85
34.118.0.250,443,443,true,FRA,Europe,Frankfurt,272,2.77
34.118.15.29,443,443,true,FRA,Europe,Frankfurt,277,2.71
34.118.126.46,443,443,true,FRA,Europe,Frankfurt,280,2.71
34.118.9.165,443,443,true,FRA,Europe,Frankfurt,271,2.67
34.118.122.1,443,443,true,FRA,Europe,Frankfurt,269,2.63
34.118.126.251,443,443,true,FRA,Europe,Frankfurt,266,2.58
34.118.28.145,443,443,true,FRA,Europe,Frankfurt,281,2.57
34.118.47.106,443,443,true,FRA,Europe,Frankfurt,300,2.56
34.118.118.64,443,443,true,FRA,Europe,Frankfurt,268,2.54
34.175.7.231,2082,80,false,MAD,Europe,Madrid,198,2.54
34.118.1.108,443,443,true,FRA,Europe,Frankfurt,265,2.54
35.229.161.32,443,443,true,TPE,Asia Pacific,Taipei,45,2.53
34.118.6.115,443,443,true,FRA,Europe,Frankfurt,270,2.52
34.118.126.251,443,443,true,FRA,Europe,Frankfurt,281,2.52
34.116.245.40,443,443,true,FRA,Europe,Frankfurt,311,2.46
34.140.239.154,2053,80,false,CDG,Europe,Paris,195,2.46
34.140.239.154,2087,80,false,CDG,Europe,Paris,209,2.46
34.175.244.157,2052,80,false,MAD,Europe,Madrid,197,2.39
34.118.73.138,443,443,true,FRA,Europe,Frankfurt,277,2.39
34.175.7.231,2052,80,false,MAD,Europe,Madrid,197,2.33
34.116.147.112,443,443,true,FRA,Europe,Frankfurt,266,2.32
34.175.133.251,2083,80,false,MAD,Europe,Madrid,189,2.32
34.175.133.251,2052,80,false,MAD,Europe,Madrid,196,2.31
34.175.7.231,2087,80,false,MAD,Europe,Madrid,190,2.31
34.175.133.251,2053,80,false,MAD,Europe,Madrid,190,2.30
34.175.95.58,2082,80,false,MAD,Europe,Madrid,190,2.30
34.175.133.251,2087,80,false,MAD,Europe,Madrid,196,2.28
34.116.251.158,443,443,true,FRA,Europe,Frankfurt,265,2.28
34.175.161.245,2053,80,false,MAD,Europe,Madrid,198,2.26
34.175.161.245,2083,80,false,MAD,Europe,Madrid,189,2.26
34.175.161.245,2095,80,false,MAD,Europe,Madrid,189,2.25
34.118.93.116,443,443,true,FRA,Europe,Frankfurt,268,2.24
34.175.161.245,2087,80,false,MAD,Europe,Madrid,198,2.22
34.116.214.43,443,443,true,FRA,Europe,Frankfurt,283,2.16
34.175.95.58,2052,80,false,MAD,Europe,Madrid,197,2.15
34.175.95.58,2086,80,false,MAD,Europe,Madrid,189,2.14
34.175.244.157,2096,80,false,MAD,Europe,Madrid,189,2.13
34.175.99.73,2052,80,false,MAD,Europe,Madrid,197,2.13
34.175.168.99,2082,80,false,MAD,Europe,Madrid,189,2.13
34.90.148.40,443,443,true,FRA,Europe,Frankfurt,279,2.13
34.175.95.58,2087,80,false,MAD,Europe,Madrid,198,2.13
34.175.7.231,2053,80,false,MAD,Europe,Madrid,197,2.13
34.175.244.157,2053,80,false,MAD,Europe,Madrid,190,2.13
34.175.133.251,2096,80,false,MAD,Europe,Madrid,202,2.12
34.175.244.157,2083,80,false,MAD,Europe,Madrid,196,2.12
34.175.168.99,2083,80,false,MAD,Europe,Madrid,196,2.11
34.175.95.58,2095,80,false,MAD,Europe,Madrid,203,2.11
34.175.244.157,2087,80,false,MAD,Europe,Madrid,193,2.11
34.140.239.154,2095,80,false,CDG,Europe,Paris,209,2.10
34.140.239.154,2086,80,false,CDG,Europe,Paris,210,2.10
34.175.161.245,2086,80,false,MAD,Europe,Madrid,198,2.10
35.187.41.171,2083,80,false,CDG,Europe,Paris,209,2.09
34.175.133.251,2082,80,false,MAD,Europe,Madrid,197,2.09
34.140.239.154,2096,80,false,CDG,Europe,Paris,197,2.09
34.140.239.154,2082,80,false,CDG,Europe,Paris,196,2.08
34.118.118.64,443,443,true,FRA,Europe,Frankfurt,279,2.06
34.175.161.245,2082,80,false,MAD,Europe,Madrid,196,2.06
34.147.101.117,2087,80,false,AMS,Europe,Amsterdam,210,2.06
34.175.133.251,2095,80,false,MAD,Europe,Madrid,196,2.06
34.147.101.117,2052,80,false,AMS,Europe,Amsterdam,210,2.05
34.147.101.117,2083,80,false,AMS,Europe,Amsterdam,200,2.05
34.147.101.117,2082,80,false,AMS,Europe,Amsterdam,218,2.05
34.175.161.245,2052,80,false,MAD,Europe,Madrid,197,2.05
34.140.239.154,2052,80,false,CDG,Europe,Paris,196,2.05
34.175.99.73,2096,80,false,MAD,Europe,Madrid,194,2.04
34.175.244.157,2095,80,false,MAD,Europe,Madrid,197,2.04
34.175.133.251,2086,80,false,MAD,Europe,Madrid,190,2.04
34.147.101.117,2086,80,false,AMS,Europe,Amsterdam,200,2.04
34.147.101.117,2096,80,false,AMS,Europe,Amsterdam,199,2.04
34.175.95.58,2096,80,false,MAD,Europe,Madrid,190,2.03
35.187.41.171,2087,80,false,CDG,Europe,Paris,197,2.03
34.175.244.157,2082,80,false,MAD,Europe,Madrid,197,2.03
34.175.244.157,2086,80,false,MAD,Europe,Madrid,198,2.03
34.175.99.73,2095,80,false,MAD,Europe,Madrid,191,2.03
34.175.95.58,2053,80,false,MAD,Europe,Madrid,197,2.02
34.175.168.99,2087,80,false,MAD,Europe,Madrid,189,2.02
34.175.99.73,2082,80,false,MAD,Europe,Madrid,190,2.00
34.147.82.194,2053,80,false,AMS,Europe,Amsterdam,214,1.99
34.175.99.73,2086,80,false,MAD,Europe,Madrid,189,1.97
34.147.101.117,2053,80,false,AMS,Europe,Amsterdam,202,1.96
34.147.101.117,2095,80,false,AMS,Europe,Amsterdam,210,1.96
34.175.161.245,2096,80,false,MAD,Europe,Madrid,189,1.94
34.175.143.15,2095,80,false,MAD,Europe,Madrid,198,1.94
34.116.213.69,443,443,true,FRA,Europe,Frankfurt,388,1.93
34.140.239.154,2083,80,false,CDG,Europe,Paris,196,1.92
34.118.71.97,443,443,true,FRA,Europe,Frankfurt,275,1.64
34.90.221.59,443,443,true,FRA,Europe,Frankfurt,266,1.03
34.65.22.165,443,443,true,FRA,Europe,Frankfurt,268,1.02
35.189.99.124,443,443,true,LHR,Europe,London,201,1.00
34.34.24.99,443,443,true,FRA,Europe,Frankfurt,271,0.93
34.154.248.169,443,443,true,FRA,Europe,Frankfurt,296,0.92
34.118.41.105,443,443,true,FRA,Europe,Frankfurt,365,0.89
34.91.226.111,443,443,true,FRA,Europe,Frankfurt,318,0.71
34.32.224.20,443,443,true,FRA,Europe,Frankfurt,276,0.71
34.118.108.19,443,443,true,FRA,Europe,Frankfurt,287,0.68
35.245.229.160,443,443,true,IAD,North America,Ashburn,257,0.68
35.245.5.87,443,443,true,IAD,North America,Ashburn,221,0.62
34.147.91.246,443,443,true,FRA,Europe,Frankfurt,272,0.62
34.159.30.32,443,443,true,FRA,Europe,Frankfurt,272,0.60
35.204.117.68,443,443,true,FRA,Europe,Frankfurt,268,0.58
34.154.255.184,443,443,true,FRA,Europe,Frankfurt,267,0.57
34.118.59.52,443,443,true,FRA,Europe,Frankfurt,382,0.57
34.89.133.87,443,443,true,FRA,Europe,Frankfurt,295,0.57
34.89.241.158,443,443,true,FRA,Europe,Frankfurt,285,0.57
34.116.131.175,443,443,true,FRA,Europe,Frankfurt,289,0.56
34.116.131.64,443,443,true,FRA,Europe,Frankfurt,301,0.56
34.90.148.40,443,443,true,FRA,Europe,Frankfurt,296,0.54
34.154.60.225,443,443,true,FRA,Europe,Frankfurt,284,0.53
34.107.73.97,443,443,true,FRA,Europe,Frankfurt,313,0.51
34.90.131.162,443,443,true,FRA,Europe,Frankfurt,282,0.51
34.90.190.66,443,443,true,FRA,Europe,Frankfurt,281,0.50
34.90.190.66,443,443,true,FRA,Europe,Frankfurt,267,0.46
34.90.221.59,443,443,true,FRA,Europe,Frankfurt,276,0.46
34.116.145.162,443,443,true,FRA,Europe,Frankfurt,279,0.45
34.65.203.182,443,443,true,FRA,Europe,Frankfurt,284,0.40
34.32.156.13,443,443,true,FRA,Europe,Frankfurt,293,0.38
34.150.233.190,443,443,true,IAD,North America,Ashburn,214,0.36
35.199.27.229,443,443,true,IAD,North America,Ashburn,212,0.36
35.199.25.230,443,443,true,IAD,North America,Ashburn,211,0.36
34.35.36.97,8443,443,true,JNB,Africa,Johannesburg,378,0.36
34.35.36.97,2053,443,true,JNB,Africa,Johannesburg,380,0.35
34.90.148.40,443,443,true,FRA,Europe,Frankfurt,281,0.35
34.35.36.97,2053,443,true,JNB,Africa,Johannesburg,370,0.35
34.154.101.161,443,443,true,FRA,Europe,Frankfurt,271,0.35
34.35.36.97,8443,443,true,JNB,Africa,Johannesburg,379,0.35
34.107.73.97,443,443,true,FRA,Europe,Frankfurt,272,0.35
34.90.221.59,443,443,true,FRA,Europe,Frankfurt,291,0.34
34.91.206.56,443,443,true,FRA,Europe,Frankfurt,283,0.29
34.116.191.144,443,443,true,FRA,Europe,Frankfurt,293,0.27
34.107.32.69,443,443,true,FRA,Europe,Frankfurt,326,0.27
34.116.191.144,443,443,true,FRA,Europe,Frankfurt,350,0.26
34.65.151.47,443,443,true,FRA,Europe,Frankfurt,287,0.26
35.204.129.84,443,443,true,FRA,Europe,Frankfurt,293,0.26
34.116.195.165,443,443,true,FRA,Europe,Frankfurt,282,0.26
34.65.205.125,443,443,true,FRA,Europe,Frankfurt,268,0.22
34.116.233.114,443,443,true,FRA,Europe,Frankfurt,313,0.22
34.65.16.115,443,443,true,FRA,Europe,Frankfurt,283,0.21
34.89.133.87,443,443,true,FRA,Europe,Frankfurt,293,0.21
34.118.56.193,443,443,true,FRA,Europe,Frankfurt,298,0.21
35.198.151.61,443,443,true,FRA,Europe,Frankfurt,263,0.21
34.118.80.178,443,443,true,FRA,Europe,Frankfurt,281,0.20
34.118.46.202,443,443,true,FRA,Europe,Frankfurt,436,0.19
34.90.4.9,443,443,true,FRA,Europe,Frankfurt,271,0.19
34.154.198.179,443,443,true,FRA,Europe,Frankfurt,261,0.16
34.154.68.100,443,443,true,FRA,Europe,Frankfurt,297,0.14
34.116.159.174,443,443,true,FRA,Europe,Frankfurt,290,0.14
34.118.116.97,443,443,true,FRA,Europe,Frankfurt,303,0.12
35.198.177.9,443,443,true,FRA,Europe,Frankfurt,299,0.10
34.154.173.201,443,443,true,FRA,Europe,Frankfurt,272,0.10
34.65.205.125,443,443,true,FRA,Europe,Frankfurt,293,0.10
34.159.66.63,443,443,true,FRA,Europe,Frankfurt,325,0.09
34.91.226.111,443,443,true,FRA,Europe,Frankfurt,272,0.07
34.118.59.52,443,443,true,FRA,Europe,Frankfurt,285,0.06
34.65.2.201,443,443,true,FRA,Europe,Frankfurt,310,0.05
34.154.113.214,443,443,true,FRA,Europe,Frankfurt,260,0.05
34.90.131.162,443,443,true,FRA,Europe,Frankfurt,296,0.05
34.91.206.56,443,443,true,FRA,Europe,Frankfurt,273,0.04
34.90.221.59,443,443,true,FRA,Europe,Frankfurt,292,0.04
34.118.58.146,443,443,true,FRA,Europe,Frankfurt,430,0.03
