IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
158.101.23.233,2053,443,true,LAX,North America,Los Angeles,179,4.64
141.148.229.93,443,443,true,FRA,Europe,Frankfurt,295,4.60
152.67.148.199,443,443,true,FRA,Europe,Frankfurt,280,4.59
152.70.155.147,2082,2082,false,LAX,North America,Los Angeles,211,4.56
138.2.226.15,443,443,true,SJC,North America,San Jose,175,4.55
138.3.222.33,443,443,true,NRT,Asia Pacific,Tokyo,68,4.53
141.144.200.204,443,443,true,FRA,Europe,Frankfurt,255,4.53
141.144.207.34,443,443,true,FRA,Europe,Frankfurt,263,4.52
143.47.240.163,443,443,true,FRA,Europe,Frankfurt,259,4.52
152.67.231.219,443,443,true,SJC,North America,San Jose,196,4.49
152.70.155.147,8443,8443,true,LAX,North America,Los Angeles,215,4.49
130.61.107.238,8443,443,true,FRA,Europe,Frankfurt,316,4.48
155.248.196.123,443,443,true,YVR,North America,Vancouver,175,4.47
64.110.104.30,443,443,true,KIX,Asia Pacific,Osaka,105,4.47
129.153.213.8,443,443,true,LAX,North America,Los Angeles,175,4.45
89.168.100.20,443,443,true,FRA,Europe,Frankfurt,318,4.41
141.147.91.191,443,443,true,FRA,Europe,Frankfurt,282,4.39
152.70.155.147,80,80,false,LAX,North America,Los Angeles,211,4.38
141.148.239.232,443,443,true,FRA,Europe,Frankfurt,256,4.33
158.178.154.206,443,443,true,FRA,Europe,Frankfurt,265,4.27
129.159.197.137,8443,443,true,FRA,Europe,Frankfurt,310,4.25
152.70.155.147,8880,8880,false,LAX,North America,Los Angeles,180,4.24
143.47.229.228,443,443,true,FRA,Europe,Frankfurt,285,4.22
152.70.155.147,2052,2052,false,LAX,North America,Los Angeles,220,4.20
158.180.22.121,443,443,true,FRA,Europe,Frankfurt,317,4.19
152.70.155.147,8080,8080,false,LAX,North America,Los Angeles,214,4.18
129.159.251.168,443,443,true,FRA,Europe,Frankfurt,314,4.17
129.159.254.195,443,443,true,FRA,Europe,Frankfurt,252,4.17
192.18.139.229,8443,443,true,SJC,North America,San Jose,175,4.17
141.147.40.80,443,443,true,FRA,Europe,Frankfurt,323,4.16
158.180.28.196,443,443,true,FRA,Europe,Frankfurt,326,4.15
130.61.109.6,2096,443,true,FRA,Europe,Frankfurt,313,4.14
144.24.165.125,443,443,true,FRA,Europe,Frankfurt,252,4.12
144.24.172.197,443,443,true,FRA,Europe,Frankfurt,337,4.11
138.2.133.194,443,443,true,FRA,Europe,Frankfurt,322,4.11
143.47.248.54,443,443,true,FRA,Europe,Frankfurt,272,4.11
152.70.182.118,443,443,true,FRA,Europe,Frankfurt,317,4.09
89.168.118.160,443,443,true,FRA,Europe,Frankfurt,322,4.09
158.180.31.167,443,443,true,FRA,Europe,Frankfurt,314,4.08
141.147.9.74,443,443,true,FRA,Europe,Frankfurt,310,4.08
193.122.15.58,443,443,true,FRA,Europe,Frankfurt,249,4.07
158.101.32.53,2053,443,true,LAX,North America,Los Angeles,184,4.05
138.2.178.139,443,443,true,FRA,Europe,Frankfurt,349,4.02
129.159.203.138,443,443,true,FRA,Europe,Frankfurt,317,4.00
89.168.64.138,443,443,true,FRA,Europe,Frankfurt,257,3.99
144.24.161.142,8443,443,true,FRA,Europe,Frankfurt,313,3.97
132.145.54.84,8443,443,true,LHR,Europe,London,242,3.96
