IP地址	端口	TLS	数据中心	地区	城市	网络延迟	测速 MB/s
47.237.95.13	2095	FALSE	SIN	Asia Pacific	Singapore	233 ms	6294 kB/s
8.217.149.28	2052	FALSE	HKG	Asia Pacific	Hong Kong	64 ms	6284 kB/s
47.236.165.25	2095	FALSE	SIN	Asia Pacific	Singapore	205 ms	6247 kB/s
47.236.171.205	2095	FALSE	SIN	Asia Pacific	Singapore	213 ms	6204 kB/s
47.236.172.71	2095	FALSE	SIN	Asia Pacific	Singapore	231 ms	6199 kB/s
47.237.14.220	2082	FALSE	SIN	Asia Pacific	Singapore	225 ms	6187 kB/s
47.236.169.15	8880	FALSE	SIN	Asia Pacific	Singapore	244 ms	6184 kB/s
47.236.172.71	8080	FALSE	SIN	Asia Pacific	Singapore	221 ms	6184 kB/s
47.236.10.100	8880	FALSE	SIN	Asia Pacific	Singapore	231 ms	6183 kB/s
8.210.34.188	2082	FALSE	HKG	Asia Pacific	Hong Kong	65 ms	6180 kB/s
47.236.80.110	80	FALSE	SIN	Asia Pacific	Singapore	215 ms	6178 kB/s
47.236.117.48	80	FALSE	SIN	Asia Pacific	Singapore	213 ms	6170 kB/s
47.236.97.90	8080	FALSE	SIN	Asia Pacific	Singapore	247 ms	6161 kB/s
8.218.8.142	2082	FALSE	HKG	Asia Pacific	Hong Kong	63 ms	6158 kB/s
47.236.237.90	80	FALSE	SIN	Asia Pacific	Singapore	219 ms	6147 kB/s
47.237.82.15	2082	FALSE	SIN	Asia Pacific	Singapore	214 ms	6141 kB/s
47.236.144.48	8080	FALSE	SIN	Asia Pacific	Singapore	209 ms	6129 kB/s
47.238.6.102	2086	FALSE	HKG	Asia Pacific	Hong Kong	61 ms	6112 kB/s
47.237.10.1	2082	FALSE	SIN	Asia Pacific	Singapore	207 ms	6089 kB/s
47.236.17.193	8080	FALSE	SIN	Asia Pacific	Singapore	208 ms	6086 kB/s
47.237.95.146	8880	FALSE	SIN	Asia Pacific	Singapore	213 ms	6081 kB/s
47.243.203.119	2095	FALSE	HKG	Asia Pacific	Hong Kong	63 ms	6079 kB/s
47.236.149.107	80	FALSE	SIN	Asia Pacific	Singapore	230 ms	6078 kB/s
8.210.101.157	2095	FALSE	HKG	Asia Pacific	Hong Kong	59 ms	6074 kB/s
47.236.149.107	8880	FALSE	SIN	Asia Pacific	Singapore	226 ms	6067 kB/s
47.236.169.141	80	FALSE	SIN	Asia Pacific	Singapore	234 ms	6065 kB/s
47.236.10.100	2052	FALSE	SIN	Asia Pacific	Singapore	213 ms	6057 kB/s
47.243.203.119	80	FALSE	HKG	Asia Pacific	Hong Kong	53 ms	6049 kB/s
47.238.40.58	8880	FALSE	HKG	Asia Pacific	Hong Kong	67 ms	6047 kB/s
47.236.169.141	2095	FALSE	SIN	Asia Pacific	Singapore	213 ms	6024 kB/s
47.236.144.208	80	FALSE	SIN	Asia Pacific	Singapore	233 ms	5992 kB/s
47.242.252.237	2082	FALSE	HKG	Asia Pacific	Hong Kong	56 ms	5981 kB/s
47.236.169.141	8080	FALSE	SIN	Asia Pacific	Singapore	240 ms	5978 kB/s
8.218.207.169	80	FALSE	HKG	Asia Pacific	Hong Kong	58 ms	5972 kB/s
8.210.34.188	80	FALSE	HKG	Asia Pacific	Hong Kong	63 ms	5967 kB/s
47.236.5.223	8880	FALSE	SIN	Asia Pacific	Singapore	260 ms	5930 kB/s
47.243.203.119	8080	FALSE	HKG	Asia Pacific	Hong Kong	63 ms	5917 kB/s
47.236.145.85	2086	FALSE	SIN	Asia Pacific	Singapore	213 ms	5913 kB/s
47.236.117.48	8880	FALSE	SIN	Asia Pacific	Singapore	220 ms	5909 kB/s
47.236.5.223	2082	FALSE	SIN	Asia Pacific	Singapore	243 ms	5901 kB/s
47.237.11.182	2082	FALSE	SIN	Asia Pacific	Singapore	217 ms	5870 kB/s
8.218.188.129	2082	FALSE	HKG	Asia Pacific	Hong Kong	60 ms	5868 kB/s
47.236.17.193	80	FALSE	SIN	Asia Pacific	Singapore	209 ms	5864 kB/s
47.237.95.146	2086	FALSE	SIN	Asia Pacific	Singapore	209 ms	5856 kB/s
8.218.2.181	8080	FALSE	HKG	Asia Pacific	Hong Kong	56 ms	5848 kB/s
47.236.168.17	2086	FALSE	SIN	Asia Pacific	Singapore	218 ms	5847 kB/s
47.238.40.58	2082	FALSE	HKG	Asia Pacific	Hong Kong	62 ms	5839 kB/s
8.217.121.207	2082	FALSE	HKG	Asia Pacific	Hong Kong	67 ms	5830 kB/s
47.237.11.182	2095	FALSE	SIN	Asia Pacific	Singapore	206 ms	5825 kB/s
47.236.104.11	2052	FALSE	SIN	Asia Pacific	Singapore	217 ms	5822 kB/s
47.236.87.246	2052	FALSE	SIN	Asia Pacific	Singapore	212 ms	5790 kB/s
47.236.146.249	2086	FALSE	SIN	Asia Pacific	Singapore	226 ms	5768 kB/s
47.236.165.25	2052	FALSE	SIN	Asia Pacific	Singapore	213 ms	5766 kB/s
47.245.105.224	2052	FALSE	SIN	Asia Pacific	Singapore	232 ms	5742 kB/s
47.236.144.208	2086	FALSE	SIN	Asia Pacific	Singapore	227 ms	5742 kB/s
